identifier,instance_type,theme_path,title,page_groups,sort_order
fastest-fashion-main-area-new-trend-fashion,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Main Contain Top - New Trend Fashion","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:11:""content.top"";}}}",1
fastest-fashion-threebanner,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Main Contain Top - Three Banner","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:11:""content.top"";}}}",2
fastest-fashion-footer-links,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Footer Links","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:24:""footer.container.wrapper"";}}}",0
fastest-fashion-footer-bottom-payment,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Footer Bottom Payment","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:19:""footer.custom.block"";}}}",0
fastest-fashion-main-area-best-seller,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Main Area - Best Seller","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",3
fastest-fashion-main-area-home-brands-slider,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Main Area - Home Brands Slider","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",5
fastest-fashion-main-menu,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Main Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:14:""menu.container"";}}}",1
fastest-fashion-footer-top-newsletter,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Footer Top - Newsletter","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:18:""footer.content.top"";}}}",0
fastest-fashion-product-static-block-sizechart,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Product Static Block - SizeChart","a:1:{i:0;a:2:{s:10:""page_group"";s:12:""all_products"";s:12:""all_products"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:20:""catalog_product_view"";s:5:""block"";s:24:""product.info.staticblock"";}}}",0
fastest-fashion-home-slideshow,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Home Slideshow","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:21:""header.slideshow.full"";}}}",1
fastest-fashion-main-area-new-blog-posts-list,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_fashion,"Fastest - Fashion - Main Area - New Blog Posts List","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",4
