identifier,instance_type,theme_path,title,page_groups,sort_order
fastest-sportswear-main-menu,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Main menu","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:14:""menu.container"";}}}",1
fastest-sportswear-main-slideshow,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Main slideshow","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",1
fastest-sportswear-main-content-new-products,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Main Content - New Products","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",2
fastest-sportswear-main-content-banner,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Main Content - Banner","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",3
fastest-sportswear-main-content-product-tabs,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Product Tabs - Main Content","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",4
fastest-sportswear-category-link-tabs,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Category Link Tabs","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:12:""sidebar.main"";}}}",1
fastest-sportswear-sidebar-special-products,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Sidebar - Special Products","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:12:""sidebar.main"";}}}",2
fastest-sportswear-sidebar-banner1,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Sidebar - Banner 1","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:18:""sidebar.additional"";}}}",1
fastest-sportswear-sidebar-banner2,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Sidebar - Banner 2","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:18:""sidebar.additional"";}}}",2
fastest-sportswear-footer-content-about-us,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Footer Content - About Us","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:18:""footer.content.top"";}}}",2
fastest-sportswear-footer-content-2-footer-links,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Footer Content 2 - Footer Links","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:24:""footer.container.wrapper"";}}}",2
fastest-sportswear-before-footer-latest-blog,"Magento\Cms\Block\Widget\Block",frontend/Codazon/fastest_sportswear,"Fastest - Sportswear - Before Footer - Latest Blog","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:19:""main.content.bottom"";}}}",1
